YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,CONFIRMED_UNITS,GRAFFITI,SCORE,AGE
2021,1965,PRIVATE,152,3,60,56
2021,1959,PRIVATE,47,5,78,62
2021,1965,PRIVATE,30,5,74,56
2021,1950,PRIVATE,83,5,69,71
2021,1962,PRIVATE,153,5,79,59
2021,1960,PRIVATE,34,5,75,61
2021,1927,PRIVATE,50,5,75,94
2021,1956,PRIVATE,48,5,79,65
2021,1990,SOCIAL HOUSING,25,5,80,31
2021,1960,PRIVATE,82,5,72,61
2021,1969,PRIVATE,166,5,67,52
2021,1964,PRIVATE,90,5,87,57
2021,1968,PRIVATE,53,5,73,53
2021,1964,PRIVATE,83,5,84,57
2021,1967,PRIVATE,100,5,80,54
2021,1996,SOCIAL HOUSING,29,5,81,25
2021,1968,PRIVATE,88,5,90,53
2021,1970,TCHC,94,2,58,51
2021,1966,PRIVATE,121,5,87,55
2021,1993,TCHC,51,5,71,28
2021,1995,SOCIAL HOUSING,17,5,80,26
2021,1972,TCHC,69,5,94,49
2021,1960,PRIVATE,49,5,78,61
2021,1955,PRIVATE,48,5,84,66
2021,1931,PRIVATE,54,5,85,90
2021,1995,TCHC,40,5,77,26
2021,1989,SOCIAL HOUSING,14,5,69,32
2021,1996,SOCIAL HOUSING,80,3,66,25
2021,1964,TCHC,223,3,60,57
2021,1993,SOCIAL HOUSING,177,5,86,28
2021,1981,PRIVATE,195,5,91,40
2021,1968,PRIVATE,554,5,71,53
2021,1950,PRIVATE,23,5,84,71
2021,1956,PRIVATE,11,5,78,65
2021,1964,PRIVATE,172,5,74,57
2021,1992,SOCIAL HOUSING,102,5,78,29
2021,1970,PRIVATE,24,5,82,51
2021,1964,PRIVATE,65,5,78,57
2021,1956,PRIVATE,11,5,80,65
2021,1993,TCHC,79,5,86,28
2021,1960,PRIVATE,11,5,73,61
2021,1958,PRIVATE,10,5,69,63
2021,1971,PRIVATE,34,5,76,50
2021,1949,PRIVATE,11,5,76,72
2021,1965,PRIVATE,60,5,73,56
2021,1964,PRIVATE,128,5,98,57
2021,1965,PRIVATE,117,5,83,56
2021,1959,PRIVATE,237,5,84,62
2021,1961,PRIVATE,144,5,88,60
2021,1965,PRIVATE,117,5,81,56
2021,1948,TCHC,48,5,66,73
2021,1965,PRIVATE,173,5,82,56
2021,1960,PRIVATE,27,5,73,61
2021,1960,PRIVATE,74,5,74,61
2021,1962,PRIVATE,129,2,82,59
2021,1982,SOCIAL HOUSING,76,5,84,39
2021,1968,PRIVATE,112,5,60,53
2021,1960,PRIVATE,28,5,87,61
2021,1959,PRIVATE,10,5,72,62
2021,1971,PRIVATE,75,5,84,50
2021,1969,TCHC,36,3,66,52
2021,1969,TCHC,45,3,70,52
2021,1960,PRIVATE,58,5,86,61
2021,1979,PRIVATE,372,4,79,42
2021,1962,TCHC,31,5,78,59
2021,1945,PRIVATE,11,5,68,76
2021,1968,PRIVATE,30,5,85,53
2021,1972,PRIVATE,280,4,88,49
2021,1954,PRIVATE,30,5,89,67
2021,1968,PRIVATE,118,5,79,53
2021,1960,PRIVATE,18,5,70,61
2021,1922,PRIVATE,42,5,72,99
2021,1958,PRIVATE,66,5,82,63
2021,2010,PRIVATE,291,5,83,11
2021,2005,PRIVATE,116,5,80,16
2021,1968,PRIVATE,91,5,84,53
2021,2011,SOCIAL HOUSING,190,5,78,10
2021,1965,PRIVATE,214,5,91,56
2021,1964,PRIVATE,88,5,89,57
2021,1960,PRIVATE,10,4,80,61
2021,1967,PRIVATE,90,5,79,54
2021,1959,PRIVATE,69,5,78,62
2021,1989,TCHC,15,5,86,32
2021,1955,PRIVATE,111,5,84,66
2021,1973,PRIVATE,68,5,61,48
2021,1967,SOCIAL HOUSING,112,5,72,54
2021,1971,PRIVATE,113,3,77,50
2021,1931,PRIVATE,29,5,73,90
2021,1960,PRIVATE,80,5,84,61
2021,1968,PRIVATE,151,5,84,53
2021,1968,PRIVATE,142,4,73,53
2021,1940,PRIVATE,32,5,89,81
2021,1967,PRIVATE,275,5,88,54
2021,1969,PRIVATE,267,5,76,52
2021,1957,PRIVATE,72,5,78,64
2021,1929,PRIVATE,23,5,81,92
2021,1955,PRIVATE,22,5,79,66
2021,1965,PRIVATE,65,5,79,56
2021,1973,PRIVATE,233,5,81,48
2021,1968,PRIVATE,226,5,76,53
2021,1962,PRIVATE,120,5,82,59
2021,1974,PRIVATE,228,4,80,47
2021,1970,PRIVATE,118,5,87,51
2021,1963,PRIVATE,62,5,75,58
2021,1967,PRIVATE,356,5,79,54
2021,1982,TCHC,61,2,73,39
2021,2008,PRIVATE,19,5,76,13
2021,1969,PRIVATE,129,5,85,52
2021,1959,PRIVATE,91,5,78,62
2021,1910,SOCIAL HOUSING,48,3,85,111
2021,1967,PRIVATE,76,5,79,54
2021,1965,TCHC,161,3,66,56
2021,1976,SOCIAL HOUSING,136,5,82,45
2021,1972,TCHC,231,3,72,49
2021,1952,PRIVATE,56,5,81,69
2021,1962,PRIVATE,56,5,80,59
2021,1960,PRIVATE,142,5,79,61
2021,1969,PRIVATE,35,5,91,52
2021,1983,SOCIAL HOUSING,130,5,86,38
2021,1966,PRIVATE,80,3,77,55
2021,1965,PRIVATE,64,5,78,56
2021,1962,PRIVATE,167,5,81,59
2021,1930,PRIVATE,15,5,77,91
2021,1917,PRIVATE,10,3,57,104
2021,1960,PRIVATE,73,5,92,61
2021,1952,PRIVATE,26,5,84,69
2021,1969,PRIVATE,571,5,81,52
2021,1992,SOCIAL HOUSING,128,5,92,29
2021,1950,PRIVATE,57,5,86,71
2021,1968,TCHC,97,4,53,53
2021,1957,PRIVATE,202,5,82,64
2021,1950,PRIVATE,35,5,79,71
2021,1968,PRIVATE,68,5,78,53
2021,1960,PRIVATE,47,5,78,61
2021,1950,PRIVATE,35,5,83,71
2021,1960,PRIVATE,19,5,83,61
2021,1955,PRIVATE,25,5,77,66
2021,1955,PRIVATE,60,5,79,66
2021,1994,SOCIAL HOUSING,82,5,82,27
2021,1955,PRIVATE,104,5,74,66
2021,1956,PRIVATE,32,5,82,65
2021,1900,SOCIAL HOUSING,60,5,76,121
2021,1963,PRIVATE,97,5,84,58
2021,1985,SOCIAL HOUSING,109,5,84,36
2021,1959,PRIVATE,60,5,78,62
2021,1966,PRIVATE,68,5,76,55
2021,1962,PRIVATE,60,5,85,59
2021,1973,PRIVATE,346,5,76,48
2021,1960,PRIVATE,71,5,86,61
2021,1960,PRIVATE,61,5,79,61
2021,1923,PRIVATE,38,5,87,98
2021,1965,PRIVATE,196,4,77,56
2021,1962,PRIVATE,76,5,79,59
2021,1979,PRIVATE,70,5,77,42
2021,1967,PRIVATE,297,5,76,54
2021,1972,PRIVATE,793,5,81,49
2021,1919,PRIVATE,24,4,66,102
2021,1957,PRIVATE,52,5,81,64
2021,1957,PRIVATE,23,5,73,64
2021,1952,PRIVATE,66,5,80,69
2021,1963,PRIVATE,76,5,76,58
2021,1960,PRIVATE,20,5,94,61
2021,1974,PRIVATE,222,4,57,47
2021,1976,PRIVATE,223,1,51,45
2021,1958,PRIVATE,21,4,70,63
2021,1956,PRIVATE,24,5,69,65
2021,1974,PRIVATE,420,5,73,47
2021,1966,PRIVATE,82,5,76,55
2021,2018,PRIVATE,369,5,98,3
2021,1963,PRIVATE,81,5,74,58
2021,1960,PRIVATE,65,5,81,61
2021,1966,PRIVATE,42,5,82,55
2021,1962,PRIVATE,15,5,67,59
2021,1973,PRIVATE,540,5,94,48
2021,1959,PRIVATE,20,5,68,62
2021,1971,PRIVATE,77,5,87,50
2021,1962,PRIVATE,35,5,70,59
2021,1968,PRIVATE,105,5,75,53
2021,1959,PRIVATE,16,5,84,62
2021,1960,PRIVATE,12,5,88,61
2021,1971,PRIVATE,77,5,84,50
2021,1954,PRIVATE,110,5,72,67
2021,1955,PRIVATE,13,5,71,66
2021,1992,SOCIAL HOUSING,111,5,92,29
2021,1968,PRIVATE,48,5,74,53
2021,1955,PRIVATE,13,5,71,66
2021,1961,PRIVATE,31,5,85,60
2021,1966,PRIVATE,217,5,77,55
2021,1970,TCHC,224,4,81,51
2021,1969,PRIVATE,284,2,68,52
2021,1963,PRIVATE,66,5,79,58
2021,1968,PRIVATE,193,5,81,53
2021,1962,PRIVATE,10,5,59,59
2021,1958,PRIVATE,11,5,88,63
2021,1952,PRIVATE,29,5,72,69
2021,1962,PRIVATE,49,4,79,59
2021,1970,PRIVATE,491,5,86,51
2021,1920,PRIVATE,11,5,76,101
2021,1962,PRIVATE,13,5,60,59
2021,1955,PRIVATE,12,5,83,66
2021,1958,PRIVATE,87,5,58,63
2021,1954,PRIVATE,22,5,81,67
2021,1954,PRIVATE,22,5,80,67
2021,1954,PRIVATE,22,5,81,67
2021,1994,TCHC,128,5,67,27
2021,1950,PRIVATE,43,5,81,71
2021,1954,PRIVATE,12,5,73,67
2021,1965,PRIVATE,55,5,68,56
2021,1927,PRIVATE,37,5,66,94
2021,1965,PRIVATE,260,5,86,56
2021,1968,PRIVATE,81,5,88,53
2021,1964,PRIVATE,18,5,68,57
2021,1960,PRIVATE,130,5,82,61
2021,1966,PRIVATE,73,5,88,55
2021,1965,PRIVATE,102,5,86,56
2021,1970,PRIVATE,134,5,91,51
2021,1956,PRIVATE,22,5,80,65
2021,1962,PRIVATE,58,3,82,59
2021,1940,PRIVATE,27,5,79,81
2021,2007,SOCIAL HOUSING,68,5,74,14
2021,1959,PRIVATE,43,5,79,62
2021,1915,PRIVATE,26,5,74,106
2021,1965,PRIVATE,82,5,84,56
2021,1891,SOCIAL HOUSING,16,5,79,130
2021,1958,PRIVATE,75,5,77,63
2021,1960,PRIVATE,16,5,64,61
2021,1950,PRIVATE,11,5,79,71
2021,1960,PRIVATE,11,5,78,61
2021,1973,TCHC,162,1,47,48
2021,1958,PRIVATE,50,5,81,63
2021,1973,TCHC,162,3,53,48
2021,1950,PRIVATE,11,5,80,71
2021,1967,PRIVATE,145,4,76,54
2021,1960,PRIVATE,79,5,82,61
2021,1959,PRIVATE,262,5,78,62
2021,1959,PRIVATE,76,5,81,62
2021,1961,PRIVATE,11,5,66,60
2021,1954,PRIVATE,10,5,84,67
2021,1959,PRIVATE,38,5,93,62
2021,1957,PRIVATE,38,5,93,64
2021,1965,PRIVATE,47,5,64,56
2021,1900,PRIVATE,17,5,51,121
2021,1957,PRIVATE,28,5,75,64
2021,1959,PRIVATE,115,5,72,62
2021,1994,SOCIAL HOUSING,45,5,92,27
2021,1960,PRIVATE,45,5,61,61
2021,1954,PRIVATE,10,5,88,67
2021,1955,PRIVATE,10,5,89,66
2021,1950,PRIVATE,11,5,77,71
2021,1994,SOCIAL HOUSING,106,3,78,27
2021,1960,PRIVATE,44,5,75,61
2021,1972,TCHC,236,2,46,49
2021,1968,PRIVATE,272,5,79,53
2021,1957,PRIVATE,22,5,75,64
2021,1918,PRIVATE,15,4,61,103
